band,ccd,tape,comment,setup
i,1,s4,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,4,s1,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,4,s3,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,4,s4,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,4,s5,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,17,s3,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,38,s1,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
z,1,s4,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
z,4,s4,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
z,4,s5,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
Y,1,s4,good case,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
r,10,s5,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
r,55,s1,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
r,55,s2,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
r,58,s1,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,3,s3,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,3,s4,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,3,s5,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,3,s6,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,7,s1,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,7,s3,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,7,s4,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,7,s5,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,7,s6,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,10,s5,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,11,s4,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,12,s3,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,12,s4,bad columns not masked,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,12,s5,bad columns not masked,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,12,s6,bad columns not masked,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,18,s1,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,18,s3,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,18,s4,bad columns not masked,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,18,s5,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,18,s6,bad columns not masked,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,24,s5,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,31,s4,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,31,s5,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,54,s4,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,55,s1,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,55,s2,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,58,s1,artifact at the corner,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,58,s6,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,59,s2,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,59,s3,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,59,s5,"noisy, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,62,s4,bad columns not masked,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,62,s5,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,62,s6,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
z,10,s5,"artifact at the corner, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
z,55,s1,"artifact at the corner, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
z,55,s2,"artifact at the corner, tapebump not masked","otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
Y,3,s3,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
Y,3,s3,noisy image,"otsu_thres>1, sigma=1, sigma=10, bits=(1,128,1024,2048), n_dilat=10"
i,1,s4,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,3,s3,star-like artifact,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,3,s4,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,3,s5,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,3,s6,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,4,s1,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,4,s3,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,4,s4,undermasked good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,4,s5,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,7,s1,star-like artifact,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,7,s3,star-like artifact,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,7,s4,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,7,s5,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,7,s6,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,10,s4,undermasked good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,11,s4,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,12,s3,not masked,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,12,s4,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,12,s5,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,12,s6,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,13,s4,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,17,s3,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,18,s1,star-like artifact,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,18,s3,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,18,s4,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,18,s5,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,18,s6,not masked,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,24,s2,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,24,s5,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,26,s1,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,28,s1,undermasked good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,31,s5,star-like artifact,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,38,s5,undermasked good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,59,s2,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,59,s3,not masked,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,59,s5,not masked,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,60,s5,undermasked good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,62,s4,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,62,s5,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
i,62,s6,whole patch,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
z,1,s4,undermasked good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
z,4,s1,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
z,4,s3,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
z,4,s4,undermasked good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
z,4,s5,good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
z,7,s1,star-like artifact,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
z,10,s4,undermasked good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"
Y,1,s4,undermasked good case,"otsu_thres>1, sigma=1.5, sigma=6, bits=(1,2,512,1024,2048), n_dilat=12"